Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type
851,Music - Vocal,Male Duet,Video,No,Yes,Yes,No,0
852,Music - Vocal,Male Trio,Video,No,Yes,Yes,No,0
853,Music - Vocal,Male Quartet,Video,No,Yes,Yes,No,1
854,Music - Vocal,Female Solo,Video,No,Yes,Yes,No,1
855,Music - Vocal,Female Duet,Video ,No,Yes,Yes,No,0
856,Music - Vocal,Female Trio,Video ,No,Yes,Yes,No,0
857,Music - Vocal,Female Quartet,Video,No,Yes,Yes,No,1
858,Music - Vocal,Mixed Duet,Video,No,Yes,Yes,No,0
859,Music - Vocal,Mixed Trio,Video,No,Yes,Yes,No,0
860,Music - Vocal,Mixed Quartet,Video,No,Yes,Yes,No,1
861,Music - Vocal,Vocal Ensemble,Video ,No,Yes,Yes,No,1
862,Music - Vocal,Choir,Video ,No,Yes,Yes,No,1
863,Music - Vocal,Music Vocal Composition,Document ,No,Yes,Yes,No,2
864,Music - Vocal,Music Vocal Arranging,Document ,No,Yes,Yes,No,2
900,Platform,Puppets,Video ,No,Yes,No,Yes,1
901,Platform,Dramatic Dialogue,Video ,No,Yes,No,Yes,1
902,Platform,Mime Solo,Video,No,Yes,No,Yes,1
903,Platform,Mime Group,Video,No,Yes,No,Yes,1
906,Platform,Oratory (Male),Video,No,No,No,Yes,1
907,Platform,Dramatic Monologue (Male),Video,No,No ,No,Yes,1
908,Platform,Expressive Reading (Male),Video ,No,No,No,Yes,1
909,Platform,Dramatic Narrative (Male),Video ,No,No,No,Yes,0
910,Platform,Poetry Recitation (Male),Video,No,No,No,Yes,1
911,Platform,Illustrated Storytelling (Male),Video,No,Yes,No,Yes,1
912,Platform,Ventriloquism (Male),Video,No,Yes,No,Yes,0
913,Platform,Clown Act (Male),Video,No,Yes,No,Yes,1
914,Platform,Famous Speech (Male),Video ,Yes,No,No,Yes,1
915,Platform,Preaching (Male),Video ,No,No,No,Yes,1
920,Platform,Oratory (Female),Video ,No,No ,No,Yes,1
921,Platform,Dramatic Monologue (Female),Video ,No,No,No,Yes,1
922,Platform,Expressive Reading (Female),Video,No,No,No,Yes,1
923,Platform,Dramatic Narrative (Female),Video,No,No,No,Yes,0
924,Platform,Poetry Recitation (Female),Video,No,No,No,Yes,1
925,Platform,Illustrated Storytelling (Female),Video,No,Yes,No,Yes,1
926,Platform,Ventriloquism (Female),Video ,No,Yes,No,Yes,0
927,Platform,Clown Act (Female),Video ,No,Yes,No,Yes,1
928,Platform,Famous Speech (Female),Video,Yes,No,No,Yes,1
929,Platform,Preaching (Female),Video,No,No,No,Yes,1
950,Platform,Puppets,Video,No,Yes,No,Yes,1
951,Platform,Dramatic Dialogue,Video,No,No,No,Yes,1
952,Platform,Mime Solo,Video ,No,Yes,No,Yes,1
953,Platform,Mime Group ,Video ,No,Yes,No,Yes,1
954,Platform,One-Act Play,Video ,No,Yes,No,Yes,1
