Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender
356,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0,4,
357,Exhibits - Manual Arts,Sheet Metal Work,Nil,No,No,No,No,0,4,
358,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0,4,
359,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil ,No,No,No,No,0,4,
360,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1,4,
361,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0,4,
362,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0,4,
363,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0,4,
364,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0,4,
365,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0,4,F
366,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0,4,F
368,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0,4,M
370,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0,4,
371,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0,4,
372,Exhibits - Manual Arts,Needle Point,Nil,No,No,No,No,0,4,
373,Exhibits - Manual Arts,Crochet,Nil,No,No,No,No,0,4,
374,Exhibits - Manual Arts,Knitting,Nil,No,No,No,No,0,4,
375,Exhibits - Manual Arts,Quilts,Nil,No,No,No,No,0,4,
376,Exhibits - Manual Arts,Patchwork,Nil ,No,No,No,No,0,4,
400,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1,2,
401,Exhibits - Media Arts,Nature Photo,Image ,Yes,No,No,No,1,2,
402,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1,2,
403,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1,2,
404,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1,2,
405,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1,2,
406,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1,2,
407,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1,2,
