Event ID Number,Division Name,Event Name,Upload Type,Report ,Context Box,Score Sheet,Additional Documents,Convention Type,EventGrpName,EventGender,GroupEvent,MinNo,MaxNo
270,Physical Education - Sports,Table Tennis - Doubles (Female),Nil,No,No,No,No,0,4,F,TRUE,2,2
271,Physical Education - Sports,Football Kick (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1
272,Physical Education - Sports,Soccer Kick (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1
273,Physical Education - Sports,Netball Shoot (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1
274,Physical Education - Sports,Basketball (Female),Nil,No,No,No,No,0,4,F,TRUE,5,10
275,Physical Education - Sports,Tennis - singles (Female),Nil,No,No,No,No,0,4,F,FALSE,1,1
276,Physical Education - Sports,Futsal (Female),Nil,No,No,No,No,0,4,F,TRUE,5,10
277,Physical Education - Sports,Volleyball (Female),Nil,No,No,No,No,0,4,F,TRUE,6,10
300,Exhibits - Manual Arts,Wood Turning,Nil,No,No,No,No,0,2,,FALSE,1,1
301,Exhibits - Manual Arts,Wood Construction,Nil,No,No,No,No,0,2,,FALSE,1,1
302,Exhibits - Manual Arts,Wood Carving,Nil,No,No,No,No,0,2,,FALSE,1,1
303,Exhibits - Manual Arts,Marquetry,Nil,No,No,No,No,0,2,,FALSE,1,1
304,Exhibits - Manual Arts,Metal Sculpture,Nil,No,No,No,No,0,2,,FALSE,1,1
306,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0,2,,FALSE,1,1
307,Exhibits - Manual Arts,Sheet Metal Work,Nil ,No,No,No,No,0,2,,FALSE,1,1
308,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0,2,,FALSE,1,1
309,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil,No,No,No,No,0,2,,FALSE,1,1
310,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1,2,,FALSE,1,1
311,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0,2,,FALSE,1,1
312,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0,2,,FALSE,1,1
313,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0,2,,FALSE,1,1
314,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0,2,,FALSE,1,1
315,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0,2,F,FALSE,1,1
316,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0,2,F,FALSE,1,1
318,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0,2,M,FALSE,1,1
320,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0,2,,FALSE,1,1
321,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0,2,,FALSE,1,1
322,Exhibits - Manual Arts,Needle Point,Nil ,No,No,No,No,0,2,,FALSE,1,1
323,Exhibits - Manual Arts,Crochet,Nil,No,No,No,No,0,2,,FALSE,1,1
324,Exhibits - Manual Arts,Knitting,Nil,No,No,No,No,0,2,,FALSE,1,1
325,Exhibits - Manual Arts,Quilts,Nil,No,No,No,No,0,2,,FALSE,1,1
326,Exhibits - Manual Arts,Patchwork,Nil,No,No,No,No,0,2,,FALSE,1,1
350,Exhibits - Manual Arts,Wood Turning,Nil,No,No,No,No,0,4,,FALSE,1,1
351,Exhibits - Manual Arts,Wood Construction,Nil,No,No,No,No,0,4,,FALSE,1,1
352,Exhibits - Manual Arts,Wood Carving,Nil,No,No,No,No,0,4,,FALSE,1,1
353,Exhibits - Manual Arts,Marquetry,Nil,No,No,No,No,0,4,,FALSE,1,1
354,Exhibits - Manual Arts,Metal Sculpture,Nil,No,No,No,No,0,4,,FALSE,1,1
356,Exhibits - Manual Arts,Metal Fabrication,Nil,No,No,No,No,0,4,,FALSE,1,1
357,Exhibits - Manual Arts,Sheet Metal Work,Nil,No,No,No,No,0,4,,FALSE,1,1
358,Exhibits - Manual Arts,Clay Work - Handbuilt,Nil,No,No,No,No,0,4,,FALSE,1,1
359,Exhibits - Manual Arts,Clay Work - Wheel thrown,Nil ,No,No,No,No,0,4,,FALSE,1,1
360,Exhibits - Manual Arts,Scrapbooking,Document ,Yes,No,No,No,1,4,,FALSE,1,1
361,Exhibits - Manual Arts,Flax Construction,Nil,No,No,No,No,0,4,,FALSE,1,1
362,Exhibits - Manual Arts,Bilum Making,Nil,No,No,No,No,0,4,,FALSE,1,1
363,Exhibits - Manual Arts,Sportswear,Nil,No,No,No,No,0,4,,FALSE,1,1
364,Exhibits - Manual Arts,Coats,Nil,No,No,No,No,0,4,,FALSE,1,1
365,Exhibits - Manual Arts,Female Formals,Nil,No,No,No,No,0,4,F,FALSE,1,1
366,Exhibits - Manual Arts,Female Dresses,Nil,No,No,No,No,0,4,F,FALSE,1,1
368,Exhibits - Manual Arts,Male Three piece outfit,Nil,No,No,No,No,0,4,M,FALSE,1,1
370,Exhibits - Manual Arts,Counted Cross Stitch,Nil,No,No,No,No,0,4,,FALSE,1,1
371,Exhibits - Manual Arts,Embroidery,Nil,No,No,No,No,0,4,,FALSE,1,1
372,Exhibits - Manual Arts,Needle Point,Nil,No,No,No,No,0,4,,FALSE,1,1
373,Exhibits - Manual Arts,Crochet,Nil,No,No,No,No,0,4,,FALSE,1,1
374,Exhibits - Manual Arts,Knitting,Nil,No,No,No,No,0,4,,FALSE,1,1
375,Exhibits - Manual Arts,Quilts,Nil,No,No,No,No,0,4,,FALSE,1,1
376,Exhibits - Manual Arts,Patchwork,Nil ,No,No,No,No,0,4,,FALSE,1,1
400,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
401,Exhibits - Media Arts,Nature Photo,Image ,Yes,No,No,No,1,2,,FALSE,1,1
402,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
403,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
404,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
405,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
406,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
407,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1,2,,FALSE,1,1
411,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1,2,,FALSE,1,1
412,Exhibits - Media Arts,Posters,Image,Yes,Yes,No,No,1,2,,FALSE,1,1
413,Exhibits - Media Arts,Graphic Design,Image,Yes,Yes,No,No,1,2,,FALSE,1,1
414,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,no,Yes,No,No,2,2,,TRUE,1,2
415,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,no,Yes,No,No,2,2,,TRUE,1,2
450,Exhibits - Media Arts,Portrait Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
451,Exhibits - Media Arts,Nature Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
452,Exhibits - Media Arts,Structure/Vehicle Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
453,Exhibits - Media Arts,Scapes Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
454,Exhibits - Media Arts,Event/Action Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
455,Exhibits - Media Arts,Macro Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
456,Exhibits - Media Arts,General Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
457,Exhibits - Media Arts,Composite Photo,Image,Yes,No,No,No,1,4,,FALSE,1,1
461,Exhibits - Media Arts,Digital Art,Image,Yes,Yes,No,No,1,4,,FALSE,1,1
462,Exhibits - Media Arts,Posters,Document ,Yes,Yes,No,No,1,4,,FALSE,1,1
463,Exhibits - Media Arts,Graphic Design,Document ,Yes,Yes,No,No,1,4,,FALSE,1,1
464,Exhibits - Media Arts,Linear Powerpoint Presentation,Document ,No,Yes,No,No,2,4,,TRUE,1,2
465,Exhibits - Media Arts,Non-Linear Powerpoint Presentation,Document ,No,Yes,No,NO,2,4,,TRUE,1,2
466,Exhibits - Media Arts,Web Site Development,Document ,No,Yes,No,No,2,4,,TRUE,1,2
467,Exhibits - Media Arts,Radio Play,Video/Audio ,Yes,Yes,No,Yes,2,4,,TRUE,2,5
468,Exhibits - Media Arts,Video Production,Video ,Yes,Yes,No,Yes,2,4,,TRUE,2,5
500,Exhibits - Visual Arts,Oil,Image,Yes,No,No,No,0,2,,FALSE,1,1
501,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1,2,,FALSE,1,1
502,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0,2,,FALSE,1,1
503,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1,2,,FALSE,1,1
504,Exhibits - Visual Arts,Pastels,Image ,Yes,No,No,No,0,2,,FALSE,1,1
505,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1,2,,FALSE,1,1
506,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1,2,,FALSE,1,1
507,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0,2,,FALSE,1,1
508,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0,2,,FALSE,1,1
509,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1,2,,FALSE,1,1
510,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1,2,,FALSE,1,1
550,Exhibits - Visual Arts,Oil,Image ,Yes,No,No,No,0,4,,FALSE,1,1
551,Exhibits - Visual Arts,Watercolour,Image ,Yes,No,No,No,1,4,,FALSE,1,1
552,Exhibits - Visual Arts,Acrylics,Image ,Yes,No,No,No,0,4,,FALSE,1,1
553,Exhibits - Visual Arts,Sketching,Image ,Yes,No,No,No,1,4,,FALSE,1,1
554,Exhibits - Visual Arts,Pastels,Image ,Yes,No,No,No,0,4,,FALSE,1,1
555,Exhibits - Visual Arts,Coloured Pencils,Image ,Yes,No,No,No,1,4,,FALSE,1,1
556,Exhibits - Visual Arts,Pen and Ink,Image ,Yes,No,No,No,1,4,,FALSE,1,1
557,Exhibits - Visual Arts,Prints,Image ,Yes,No,No,No,0,4,,FALSE,1,1
558,Exhibits - Visual Arts,Mixed Media,Image ,Yes,No,No,No,0,4,,FALSE,1,1
559,Exhibits - Visual Arts,Comic Strip,Image ,Yes,No,No,No,1,4,,FALSE,1,1
560,Exhibits - Visual Arts,Geometric Abstract,Image ,Yes,No,No,No,1,4,,FALSE,1,1
600,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1,2,,FALSE,1,1
601,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0,2,,TRUE,2,2
602,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0,2,,TRUE,3,3
603,Music - Combined,Self Accompanied Small Group,Video ,No,Yes,Yes,No,1,2,,TRUE,2,4
650,Music - Combined,Self Accompanied Solo,Video,No,Yes,Yes,No,1,4,,FALSE,1,1
651,Music - Combined,Self Accompanied Duet,Video,No,Yes,Yes,No,0,4,,TRUE,2,2
652,Music - Combined,Self Accompanied Trio,Video,No,Yes,Yes,No,0,4,,TRUE,3,3
653,Music - Combined,Self Accompanied Small Group,Video,No,Yes,Yes,No,1,4,,TRUE,2,4
654,Music - Combined,Combined Ensemble,Video ,No,Yes,Yes,No,1,4,,TRUE,5,15
700,Music - Instrumental,Piano Solo,Video ,No,Yes,Yes,No,1,2,,FALSE,1,1
702,Music - Instrumental,Instrumental Solo,Video,No,Yes,Yes,No,1,2,,FALSE,1,1
703,Music - Instrumental,String Solo - Plucked,Video,No,Yes,Yes,No,0,2,,FALSE,1,1
704,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0,2,,FALSE,1,1
705,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0,2,,FALSE,1,1
706,Music - Instrumental,Tambourine Solo,Video ,No,Yes,Yes,No,1,2,,FALSE,1,1
707,Music - Instrumental,Miscellaneous Solo,Video ,No,Yes,Yes,No,0,2,,FALSE,1,1
708,Music - Instrumental,Piano Duet,Video,No,Yes,Yes,No,1,2,,TRUE,2,2
709,Music - Instrumental,Instrumental Duet,Video,No,Yes,Yes,No,0,2,,TRUE,2,2
710,Music - Instrumental,Tambourine Duet,Video,No,Yes,Yes,No,0,2,,TRUE,2,2
711,Music - Instrumental,Instrumental Trio,Video,No,Yes,Yes,No,0,2,,TRUE,3,3
712,Music - Instrumental,Tambourine Trio,Video ,No,Yes,Yes,No,0,2,,TRUE,3,3
713,Music - Instrumental,Instrumental Small Group,Video ,No,Yes,Yes,No,1,2,,TRUE,2,4
714,Music - Instrumental,Tambourine Small Group,Video,No,Yes,Yes,No,1,2,,TRUE,2,4
715,Music - Instrumental,Music Instrumental Composition,Video,No,Yes,Yes,No,2,2,,TRUE,1,2
716,Music - Instrumental,Music Instrumental Arranging,Video,No,Yes,Yes,No,2,2,,TRUE,1,2
750,Music - Instrumental,Piano Solo,Video,No,Yes,Yes,No,1,4,,FALSE,1,1
752,Music - Instrumental,Instrumental Solo,Video ,No,Yes,Yes,No,1,4,,FALSE,1,1
753,Music - Instrumental,String Solo - Plucked,Video ,No,Yes,Yes,No,0,4,,FALSE,1,1
754,Music - Instrumental,String Solo - Bow,Video,No,Yes,Yes,No,0,4,,FALSE,1,1
755,Music - Instrumental,Brass Solo,Video,No,Yes,Yes,No,0,4,,FALSE,1,1
756,Music - Instrumental,Tambourine Solo,Video,No,Yes,Yes,No,1,4,,FALSE,1,1
